(227,dc) 000978aac71442015a6a27c242799e3c04e7021e039b9c8dda534d245ec6407c 2268
(175,235) (189b,1d93) #23#db#14b#15b#62#45#db#190#15b#29#fb#
(1ae7,301d) (189b,1d93) #1dc3#21aa#7f0#319#9c5#1a8e#21aa#8ee#319#1746#e15#
(1d3,26f) (189b,1d93) #153#1ce#3f#b0#1ab#107#1ce#19#b0#185#1aa#
(189b,1d93) (189b,1d93) #1a35#17f4#1d20#e93#872#223#17f4#e06#e93#882#393#
(301,1af5) (189b,1d93) #70c#efc#158b#e4e#11d8#1a65#efc#211#e4e#6c8#1810#
(6b,40d) (189b,1d93) #1d#28f#28c#3e6#279#12f#28f#34a#3e6#3c9#1df#
(351,439) (189b,1d93) #b#24f#3f#2d7#21d#1a3#24f#418#2d7#2aa#3fc#
(33d,53f) (189b,1d93) #36a#4fd#261#3a#2f9#28c#4fd#354#3a#1fe#181#
(8e1,df1) (189b,1d93) #92#88a#374#1d4#120#70f#88a#a90#1d4#c14#7b2#
(1c9,725) (189b,1d93) #430#ce#111#1ad#43#3ad#ce#222#1ad#140#85#
(1647,2533) (3a1,c3b) #2417#1e1e#a35#da0#1b9#696#1e1e#57e#18c2#
(108d,2165) (3a1,c3b) #29f#1b4d#caa#f63#138e#1391#1b4d#c36#5f5#
(3a1,c3b) (3a1,c3b) #3e7#543#255#b37#677#910#543#79b#60b#
(e3b,107f) (3a1,c3b) #b87#7eb#7b7#d24#18c#ba4#7eb#fe5#ee5#
(265,4c3) (3a1,c3b) #fa#405#222#452#1ed#39d#405#242#62#
(793,913) (3a1,c3b) #f#504#1c8#1c1#8ec#45e#504#5df#174#
(9c7,143f) (3a1,c3b) #d76#518#82d#4f1#4a4#d94#518#62d#11d7#
(313,68f) (3a1,c3b) #585#5be#4c1#aa#b4#602#5be#571#ff#
(43f,775) (3a1,c3b) #44e#20e#65e#f3#167#153#20e#1b7#bb#
