(227,dc) 000e2863dcae8d83fd26ccc2d6e4bbf1964cb12bde19d4e011c2d370a23cd409 901
(1df,2d1) (55d,899) #241#e2#e2#d6#b#fc#fd#fd#23d#
(1481,1c91) (55d,899) #12a5#588#588#1c7b#e81#13e5#503#503#55f#
(443,68f) (55d,899) #21c#4bf#4bf#2bf#3e2#198#48c#48c#2a3#
(fef,213d) (55d,899) #1e3#1630#1630#1c9e#1de2#1825#1446#1446#2e3#
(2a1,4f7) (55d,899) #4a4#16a#16a#478#d0#39c#248#248#52#
(a39,1235) (55d,899) #1200#93#93#1a1#f98#a67#d53#d53#ad9#
(1fb,4a5) (55d,899) #1c2#2bf#2bf#315#18c#b1#382#382#47c#
(55d,899) (55d,899) #811#886#886#357#23f#5b6#199#199#2ef#
(43,bb) (55d,899) #5a#19#19#6f#58#2d#6b#6b#74#
(51d,733) (55d,899) #2cd#66f#66f#52f#4ef#239#70d#70d#191#

